year,real,synth
2004,0.395,0.4181822024409267
2005,0.455,0.44401934214548683
2006,0.508,0.49696990161457794
2007,0.445,0.45897936986681337
2008,0.524,0.5168289559555225
2009,0.509,0.5070700725951683
2010,0.505,0.501902939990815
2011,0.534,0.5393119815720108
2012,0.564,0.5273318327790837
2013,0.563,0.5252514729240353
2014,0.581,0.46679160677782744
2015,0.568,0.5116740678520587
2016,0.574,0.5133857988170862
2017,0.572,0.47813805784132635
2018,0.585,0.48712359308020936
2019,0.536,0.45308947355154394
2020,0.569,0.4985688610296628
