institution,lw_ratio_mean,n_reports
Stanford University,1.512,210
Harvard University,1.316,172
Massachusetts Institute of Technology,1.337,162
California Institute of Technology,1.351,66
Princeton University,1.544,156
Yale University,1.501,177
Columbia University,1.258,160
University of Chicago,1.431,192
University of Pennsylvania,1.435,259
Cornell University,1.499,212
Johns Hopkins University,1.291,164
Duke University,1.439,244
Northwestern University,1.357,213
University of Michigan,1.286,258
University of Texas at Austin,1.193,254
University of Washington,1.262,181
University of Illinois Urbana-Champaign,1.046,300
Ohio State University,1.228,182
Penn State University,1.218,252
"University of California, Berkeley",1.229,256
"University of California, Los Angeles",1.126,187
"University of California, San Diego",1.121,238
